### Graph based on Mycielski transformation. 
### Triangle free (clique number 2) but increasing coloring number
### Graph (191,2360)

param n := 191; 
param quadcostlevel := 0.01;
param linear_cost1 := 0.1;
param linear_cost2 := 0.1;

########Cost matrices and vectors##########

for {i in V}
    for{j in V}
        {let Q1[i,j] := 0; let Q2[i,j] := 0;
        if (i==j) then {let Q1[i,j]:=quadcostlevel*4; let Q2_fix[i,j]:= quadcostlevel;}
        else {if(j==i+1 or j==i-1) then {let Q1[i,j]:=-quadcostlevel; let Q2_fix[i,j]:=-quadcostlevel;}}
        }

for {i in V}
    {let q1[i] := linear_cost1; let q2_fix[i] := linear_cost2;}

#######Adjacency matrix########
for {i in V}
    for{j in V}
        let M[i,j] :=0;


let M[1,2] :=1;
let M[1,4] :=1;
let M[1,7] :=1;
let M[1,9] :=1;
let M[1,13] :=1;
let M[1,15] :=1;
let M[1,18] :=1;
let M[1,20] :=1;
let M[1,25] :=1;
let M[1,27] :=1;
let M[1,30] :=1;
let M[1,32] :=1;
let M[1,36] :=1;
let M[1,38] :=1;
let M[1,41] :=1;
let M[1,43] :=1;
let M[1,49] :=1;
let M[1,51] :=1;
let M[1,54] :=1;
let M[1,56] :=1;
let M[1,60] :=1;
let M[1,62] :=1;
let M[1,65] :=1;
let M[1,67] :=1;
let M[1,72] :=1;
let M[1,74] :=1;
let M[1,77] :=1;
let M[1,79] :=1;
let M[1,83] :=1;
let M[1,85] :=1;
let M[1,88] :=1;
let M[1,90] :=1;
let M[1,97] :=1;
let M[1,99] :=1;
let M[1,102] :=1;
let M[1,104] :=1;
let M[1,108] :=1;
let M[1,110] :=1;
let M[1,113] :=1;
let M[1,115] :=1;
let M[1,120] :=1;
let M[1,122] :=1;
let M[1,125] :=1;
let M[1,127] :=1;
let M[1,131] :=1;
let M[1,133] :=1;
let M[1,136] :=1;
let M[1,138] :=1;
let M[1,144] :=1;
let M[1,146] :=1;
let M[1,149] :=1;
let M[1,151] :=1;
let M[1,155] :=1;
let M[1,157] :=1;
let M[1,160] :=1;
let M[1,162] :=1;
let M[1,167] :=1;
let M[1,169] :=1;
let M[1,172] :=1;
let M[1,174] :=1;
let M[1,178] :=1;
let M[1,180] :=1;
let M[1,183] :=1;
let M[1,185] :=1;
let M[2,3] :=1;
let M[2,6] :=1;
let M[2,8] :=1;
let M[2,12] :=1;
let M[2,14] :=1;
let M[2,17] :=1;
let M[2,19] :=1;
let M[2,24] :=1;
let M[2,26] :=1;
let M[2,29] :=1;
let M[2,31] :=1;
let M[2,35] :=1;
let M[2,37] :=1;
let M[2,40] :=1;
let M[2,42] :=1;
let M[2,48] :=1;
let M[2,50] :=1;
let M[2,53] :=1;
let M[2,55] :=1;
let M[2,59] :=1;
let M[2,61] :=1;
let M[2,64] :=1;
let M[2,66] :=1;
let M[2,71] :=1;
let M[2,73] :=1;
let M[2,76] :=1;
let M[2,78] :=1;
let M[2,82] :=1;
let M[2,84] :=1;
let M[2,87] :=1;
let M[2,89] :=1;
let M[2,96] :=1;
let M[2,98] :=1;
let M[2,101] :=1;
let M[2,103] :=1;
let M[2,107] :=1;
let M[2,109] :=1;
let M[2,112] :=1;
let M[2,114] :=1;
