,MasterObjRes,MasterObjRel,Epsilon,MasterTime,LLTime
0,382.2164588488094,-inf,0.0,1.3761305809020996,0.0
1,[382.53911984],347.7019648614155,-1.2679030756640515,3.2991833686828613,0.0033702850341796875
2,[382.2562749],377.4418513501301,-0.12676258672013763,3.319089651107788,50.24451804161072
3,[382.222993],381.54288947872726,-0.02617191508205452,3.2146923542022705,152.04339957237244
4,[382.21911299],381.72459388833033,-0.012645694062391577,3.2583882808685303,51.19356822967529
5,[382.21757374],381.9703524231347,-0.007775604020851645,3.2207510471343994,508.0064768791199
6,[382.22408322],382.0913715165885,-0.0025758624729212976,3.2784218788146973,179.52912044525146
7,[382.22733281],382.1891595057994,-0.00021196019509894803,3.3494269847869873,185.3256049156189
8,[382.20061581],382.1915096749363,-4.715856593229262e-05,3.389040946960449,311.27155923843384
9,[382.19357764],382.1906910084756,-5.821420036244973e-06,3.4144766330718994,227.92022252082825
10,[382.19095835],382.18882878445424,1.9070116736852327e-06,3.3205273151397705,200.17104983329773
11,[382.18875059],382.186939530398,4.620501093510754e-06,3.554104804992676,156.31233525276184
12,[382.18673486],382.185250110155,9.213338794111792e-07,3.2259654998779297,171.40361046791077
13,[382.18521956],382.1837404341075,-6.907411789214279e-07,3.4599883556365967,346.5181336402893
14,[382.18378927],382.1824446719193,-2.1233554245991826e-06,3.2546627521514893,172.33732509613037
15,[382.18256356],382.1812817350334,2.0385554482249546e-06,3.736400842666626,230.6228048801422
16,[382.18119343],382.180194304045,-7.246481015243944e-07,3.409212112426758,123.58704280853271
17,[382.18024166],382.17921839123045,2.2427480743658634e-06,3.615859270095825,196.1450011730194
18,[382.17911638],382.17830866127923,-8.07219109777435e-07,3.3367607593536377,236.49670124053955
19,[382.17835514],382.1775112774891,2.825307477971606e-06,3.346351385116577,149.22366738319397
20,[382.17737716],382.1767426204608,2.435995079652642e-06,3.4860219955444336,137.44051671028137
