,UB,LB,Epsilon,MasterTime,LLTime
0,inf,345.5224083253538,-1.6459309254133232,1.2762141227722168,4.298306703567505
1,inf,376.39173178857476,-0.16679292096695653,1.1285908222198486,41.15058493614197
2,[386.05456729],381.2856099462997,-0.04838577231778207,1.3196561336517334,516.9238879680634
3,[386.05456729],381.4662604706315,-0.02190053558835392,1.4023489952087402,299.5313980579376
4,[386.05456729],381.8098494561475,-0.014633143677310168,1.4148669242858887,327.3449523448944
5,[386.05456729],381.8896533554593,-0.0064284738559170496,1.2648191452026367,306.2082760334015
6,[382.28156033],382.1105019087094,-0.003998392232763548,1.694164752960205,255.47226524353027
7,[382.28156033],382.12610389461554,-0.0013578547311057232,1.715245008468628,336.1654040813446
8,[382.28156033],382.14704368558733,-0.0008439969310831685,1.2775726318359375,493.96034932136536
9,[382.28156033],382.1497640648489,-0.0003632702708837865,1.4884388446807861,487.2647500038147
10,[382.28156033],382.16609968107906,-0.00014811856568641701,1.8943650722503662,340.38111901283264
11,[382.18628128],382.1663917636415,-4.1375491451889346e-05,1.5883235931396484,425.02102541923523
12,[382.18628128],382.16685136885434,-9.785019769337211e-06,1.6063389778137207,490.74805974960327
13,[382.18628128],382.1669560952347,-1.1072767333253353e-05,1.6715519428253174,284.00007367134094
14,[382.17027342],382.16708416432135,-3.7345785981468538e-06,1.7244682312011719,368.0174000263214
15,[382.17027342],382.1671763405305,-3.388932155568014e-06,1.794853925704956,542.2427010536194
16,382.1672621964282,382.1672621964282,-6.641000172002975e-08,0.8242697715759277,633.2383601665497
