,UB,LB,Epsilon,MasterTime,LLTime
0,inf,-0.4425034337907749,-0.4624384981699641,0.009675025939941406,0.009637117385864258
1,inf,-0.2522846042654704,-0.2605484400877838,0.011180877685546875,0.009734392166137695
2,inf,-0.1857207691217555,-0.19741307090909063,0.015107870101928711,0.009517192840576172
3,inf,-0.16966531046944544,-0.1730427250439483,0.0166015625,0.009943008422851562
4,inf,-0.14023665702406607,-0.1461156335450003,0.01893329620361328,0.009478569030761719
5,inf,-0.12336072890833227,-0.12999157188063226,0.021986722946166992,0.009433984756469727
6,inf,-0.10256856774440459,-0.10523276919497074,0.023960351943969727,0.00956583023071289
7,[0.00326695],-0.09673305158677659,-0.0994782180846349,0.02638101577758789,0.009357213973999023
8,[0.00326695],-0.0899005871457057,-0.09308672869743524,0.026780128479003906,0.009705781936645508
9,[0.00326695],-0.08722772980169347,-0.08903060416518466,0.028851032257080078,0.009687185287475586
10,[0.00326695],-0.08153008759255909,-0.08132391282840863,0.030919551849365234,0.009560823440551758
11,[0.00326695],-0.08016904723719431,-0.07153267840245935,0.03305411338806152,0.009073019027709961
12,[0.00326695],-0.07993175853936907,-0.049849420158280616,0.03470802307128906,0.009301900863647461
13,[0.00326695],-0.07969764592672535,-0.04950818891944342,0.03705120086669922,0.009156942367553711
14,[0.00326695],-0.07952251323528747,-0.03277580785199394,0.03827834129333496,0.010148763656616211
15,[0.00326695],-0.07945338881899655,-0.03639271054798121,0.039347171783447266,0.009185075759887695
16,[0.00326695],-0.07940791086519883,-0.02445849613532078,0.042382001876831055,0.00900411605834961
17,[0.00326695],-0.07780302298370168,-0.04882505593828501,0.04365706443786621,0.008834123611450195
18,[0.00326695],-0.07775738720418834,-0.02534477547778885,0.045722007751464844,0.00900125503540039
19,[0.00326695],-0.07760822587727678,-0.014586130588221946,0.047812700271606445,0.008614778518676758
20,[0.00326695],-0.07726935362206988,-0.025431856456046426,0.04916691780090332,0.008642911911010742
21,[0.00326695],-0.0771479955082699,-0.01794323610498627,0.04968905448913574,0.008327007293701172
22,[0.00326695],-0.07704170699715651,-0.006632541758901489,0.05162215232849121,0.008331775665283203
23,[0.00326695],-0.07688779362795684,-0.00791358374619916,0.05278515815734863,0.008250713348388672
24,[-0.07185079],-0.07684096727656042,-0.004335197715238381,0.05410885810852051,0.008062124252319336
25,[-0.07185079],-0.07681074939106614,-0.004693394449842847,0.053153038024902344,0.008225202560424805
26,[-0.07185079],-0.07675745507366827,-0.0026429840933997473,0.05405998229980469,0.007821321487426758
27,[-0.07185079],-0.07674816278555285,-0.004156721360674215,0.05537056922912598,0.007735252380371094
28,[-0.07185079],-0.07674452084943773,-0.002298459790414459,0.05779218673706055,0.007915019989013672
29,[-0.07185079],-0.07670983105860096,-0.0035311872564522673,0.059906959533691406,0.007736682891845703
30,[-0.07185079],-0.07670766801411144,-0.0014554577263277135,0.058992862701416016,0.0075337886810302734
31,[-0.07185079],-0.07661596281976957,-0.0030015130204111284,0.061196088790893555,0.007447004318237305
32,[-0.07185079],-0.07660564700434658,-0.0030290875615019697,0.06297898292541504,0.007427692413330078
33,[-0.07185079],-0.07658077271675134,-0.0035098704151129145,0.06325292587280273,0.007264852523803711
34,[-0.07185079],-0.07652917331663645,-0.0015082204308487779,0.06497788429260254,0.007338047027587891
35,[-0.07185079],-0.0765067152232013,-0.0010998812873532493,0.06656098365783691,0.007169246673583984
36,[-0.07185079],-0.07649061957045289,-0.0010714274541911983,0.06626200675964355,0.0070612430572509766
37,[-0.07185079],-0.07644220531802781,-0.0017467461609341761,0.068511962890625,0.007088899612426758
38,[-0.07185079],-0.0764194936240179,-0.0007510222859442028,0.07247686386108398,0.0074694156646728516
39,[-0.07185079],-0.07640391779131739,-0.0008597642134385852,0.07153606414794922,0.007559537887573242
40,[-0.07185079],-0.07638795571569079,-0.0009458071779952226,0.07510089874267578,0.007545948028564453
41,[-0.07185079],-0.0763700301626895,-0.0006470303947461453,0.07755589485168457,0.0075702667236328125
42,[-0.07550015],-0.07636297789579483,-0.0005283601939618243,0.0778203010559082,0.007468700408935547
43,[-0.07550015],-0.07635562096391779,-0.0006337823920262442,0.07500290870666504,0.00699162483215332
44,[-0.07550015],-0.076281525065522,-0.0007784456218177249,0.07800817489624023,0.007385730743408203
45,[-0.07550015],-0.07625826448731332,-0.00047117066922322537,0.08138275146484375,0.007581472396850586
46,[-0.07550015],-0.07623504609517129,-0.0005343075571427047,0.07969021797180176,0.007163047790527344
47,[-0.07550015],-0.07619115664618192,-0.0009317590566302603,0.0811913013458252,0.007277965545654297
48,[-0.07550015],-0.07618723691495832,-0.0007269850243411258,0.08503174781799316,0.007029294967651367
49,[-0.07550015],-0.07618416158877817,-0.0006974284043694545,0.08441495895385742,0.0071201324462890625
50,[-0.07550015],-0.0761764623715726,-0.0006197258324912858,0.08835887908935547,0.0074748992919921875
51,[-0.07550015],-0.07617093739207292,-0.00033627011007447694,0.08843755722045898,0.007498979568481445
52,[-0.07550015],-0.07614911459516938,-0.00034786895196967094,0.09682321548461914,0.006963014602661133
53,[-0.07550015],-0.07614490139134222,-0.00046896045031841194,0.09420990943908691,0.00735783576965332
54,[-0.07550015],-0.0761303067587289,-0.0005210045539745523,0.09853792190551758,0.0078029632568359375
55,[-0.07550015],-0.07612730765293962,-0.0003971908581232586,0.09824895858764648,0.007324934005737305
56,[-0.07550015],-0.07612680474231248,-0.0002570137541001438,0.10221099853515625,0.007741689682006836
57,[-0.07550015],-0.07612652259723474,-0.0003013926379979437,0.10219264030456543,0.007129192352294922
58,[-0.07550015],-0.07612499127752415,-0.0003865394948758816,0.10478425025939941,0.007419109344482422
59,[-0.07550015],-0.07612406260054017,-0.00023042914101714662,0.10667729377746582,0.007528066635131836
60,[-0.07550015],-0.07612353215094836,-0.0003956891599924961,0.11298918724060059,0.007819890975952148
61,[-0.07550015],-0.0761219135901341,-0.0003084447494954845,0.11094951629638672,0.007592201232910156
62,[-0.07550015],-0.07611729987545424,-0.00033886015175718653,0.11215400695800781,0.007607936859130859
63,[-0.07550015],-0.07611164520442815,-0.00023215187505520873,0.11240482330322266,0.0073201656341552734
64,[-0.07550015],-0.07610603614578126,-0.0002727543186604453,0.11825799942016602,0.007640361785888672
65,[-0.07550015],-0.07610548144585638,-0.0001414389981732045,0.11520671844482422,0.007243156433105469
66,[-0.07550015],-0.07609396931037371,-0.000377229669917295,0.1228492259979248,0.0074825286865234375
67,[-0.07550015],-0.07608844810683157,-0.00019505495251215255,0.1215510368347168,0.0076487064361572266
68,[-0.07550015],-0.07608633109184226,-0.00022966549384456636,0.12048482894897461,0.0075931549072265625
69,[-0.07550015],-0.07608088877073116,-0.00016472963278629793,0.12653517723083496,0.007933855056762695
70,[-0.07550015],-0.07607776839037728,-0.0002768649270391832,0.12963080406188965,0.007786273956298828
71,[-0.07550015],-0.07607661756262929,-0.00017513908979860382,0.12810540199279785,0.007459163665771484
72,[-0.07550015],-0.07607619212509986,-0.00019165533893064635,0.13073492050170898,0.00761866569519043
73,[-0.07550015],-0.07607601703786093,-0.0001100611230315518,0.1348578929901123,0.00722193717956543
74,[-0.07550015],-0.0760681843996871,-0.00018736646356701248,0.13625311851501465,0.007527351379394531
75,[-0.07550015],-0.07606712994994713,-0.0001184673907231315,0.1327970027923584,0.007342815399169922
76,[-0.07550015],-0.07606397359196371,-0.00017176178532252173,0.14161276817321777,0.008095979690551758
77,[-0.07550015],-0.07606278305860092,-0.0001340135653758734,0.14185595512390137,0.007683992385864258
78,[-0.07550015],-0.07606257618171064,-0.00012104791143224825,0.13974690437316895,0.007438182830810547
79,[-0.07550015],-0.07605904857682133,-0.0001645790894854171,0.14899110794067383,0.007782936096191406
80,[-0.07550015],-0.0760578362127704,-0.00013609644028461654,0.14188599586486816,0.007779836654663086
81,[-0.0759573],-0.07605686009640533,-9.796654469521049e-05,0.14960789680480957,0.007805347442626953
82,[-0.0759573],-0.07605545729455088,-7.639795180844344e-05,0.14926385879516602,0.007954120635986328
83,[-0.0759573],-0.07605175198867409,-0.00010791450719832563,0.14967608451843262,0.007806062698364258
84,[-0.0759573],-0.07605151432854829,-0.00010052485703063163,0.14667487144470215,0.0071659088134765625
85,[-0.0759573],-0.07605115966016585,-7.315287610473731e-05,0.15233325958251953,0.0074520111083984375
86,[-0.0759573],-0.07605070296352667,-7.84032009965574e-05,0.14942002296447754,0.007900238037109375
87,[-0.0759573],-0.07604660198694346,-0.00012688446617431515,0.15612387657165527,0.007772922515869141
88,[-0.0759573],-0.07604601013660606,-8.97987419989088e-05,0.15357661247253418,0.007414817810058594
89,[-0.0759573],-0.07604596124507479,-9.388122311901337e-05,0.15408110618591309,0.007997989654541016
90,[-0.0759573],-0.07604527038319997,-6.090557299170962e-05,0.15904688835144043,0.007767200469970703
91,[-0.0759573],-0.07604124468275297,-7.81580906292767e-05,0.15957069396972656,0.007686138153076172
92,[-0.0759573],-0.07604099748773874,-5.709899277336894e-05,0.16704416275024414,0.008046627044677734
93,[-0.0759573],-0.07604047829598826,-9.177651279154708e-05,0.16259217262268066,0.008179664611816406
94,[-0.0759573],-0.07603982251059205,-5.322293641410458e-05,0.16235589981079102,0.007134914398193359
95,[-0.0759573],-0.0760375846655077,-7.067778722552598e-05,0.169097900390625,0.00757908821105957
96,[-0.0759573],-0.07603672398795802,-5.9977905988994884e-05,0.1765756607055664,0.007607936859130859
97,[-0.0759573],-0.07603346780743125,-0.00010855098442269506,0.17090392112731934,0.007822275161743164
98,[-0.0759573],-0.0760330572521557,-6.955524365107046e-05,0.1817011833190918,0.008136749267578125
99,[-0.0759573],-0.07603237243178951,-4.8403477750980084e-05,0.17394280433654785,0.0076580047607421875
100,[-0.0759573],-0.076032304864327,-5.31357611441019e-05,0.1753389835357666,0.007497072219848633
101,[-0.0759573],-0.07603211142129163,-5.203403664222339e-05,0.1860048770904541,0.007790088653564453
102,[-0.0759573],-0.07603181859883623,-3.682597967519241e-05,0.18458318710327148,0.007592439651489258
103,[-0.0759573],-0.07603048256912914,-4.536147297282134e-05,0.18050384521484375,0.007525205612182617
104,[-0.0759573],-0.07602798668678679,-3.312941486449672e-05,0.1884748935699463,0.008092880249023438
105,[-0.0759573],-0.07602554721332089,-3.611423668697933e-05,0.19060611724853516,0.007437944412231445
106,[-0.0759573],-0.07602379074732846,-4.924240032644356e-05,0.19022011756896973,0.007488727569580078
107,[-0.0759573],-0.07602340302498356,-3.936086534786498e-05,0.20025968551635742,0.007845163345336914
108,[-0.0759573],-0.07602277244840905,-2.927205796024457e-05,0.19379973411560059,0.007175922393798828
109,[-0.0759573],-0.07602258573583898,-3.890992349128708e-05,0.19974255561828613,0.007479190826416016
110,[-0.0759573],-0.0760222423677237,-3.222008772479912e-05,0.20480132102966309,0.007666110992431641
111,[-0.0759573],-0.07602191065801045,-3.216894277607851e-05,0.2000746726989746,0.007355928421020508
112,[-0.0759573],-0.07602144092691998,-2.401155574555114e-05,0.1980907917022705,0.007963895797729492
113,[-0.0759573],-0.07602060821423806,-2.361482871407472e-05,0.20250225067138672,0.007261753082275391
114,[-0.0759573],-0.07601953206804302,-2.7879166847155634e-05,0.19855833053588867,0.007544040679931641
115,[-0.0759573],-0.07601901594222493,-2.19997889323309e-05,0.20485615730285645,0.007482051849365234
116,[-0.0759573],-0.07601846132318646,-1.9779566110350588e-05,0.21770262718200684,0.0072858333587646484
117,[-0.0759573],-0.07601746212425753,-2.7186458337075114e-05,0.211655855178833,0.0076787471771240234
118,[-0.0759573],-0.07601725859667874,-1.8841244538631008e-05,0.20754098892211914,0.00744318962097168
119,[-0.0759573],-0.0760166581258217,-1.8354663528841186e-05,0.21520781517028809,0.007483959197998047
120,[-0.0759573],-0.0760166127428521,-1.820490122780849e-05,0.21113109588623047,0.006882190704345703
121,[-0.0759573],-0.0760159157264777,-1.8775648814972623e-05,0.221160888671875,0.0076389312744140625
122,[-0.0759573],-0.07601562681533158,-1.7983568100732317e-05,0.22427988052368164,0.007801055908203125
123,[-0.0759573],-0.07601558360003091,-1.552540806815106e-05,0.21600842475891113,0.007438182830810547
124,[-0.0759573],-0.07601514105052098,-1.2454765484670727e-05,0.21654701232910156,0.007791996002197266
125,[-0.07600455],-0.07601454703214028,-1.0743629255016707e-05,0.22775769233703613,0.00778508186340332
126,[-0.07600455],-0.07601334294302764,-2.101337586951635e-05,0.22091221809387207,0.0075740814208984375
127,[-0.07600455],-0.07601226608805045,-1.7766958038900604e-05,0.22832083702087402,0.007975101470947266
128,[-0.07600455],-0.07601215990841692,-1.2469998503933377e-05,0.2406902313232422,0.008078336715698242
129,[-0.07600455],-0.0760116890981768,-1.4191688011283565e-05,0.23152685165405273,0.008140087127685547
130,[-0.07600455],-0.07601168061101315,-1.0420217501472262e-05,0.23006987571716309,0.007646799087524414
131,[-0.07600455],-0.07601143506186658,-1.2503131948810031e-05,0.2424931526184082,0.007734060287475586
132,[-0.07600455],-0.07601110667427857,-1.4910864649247957e-05,0.24141907691955566,0.008036613464355469
133,[-0.07600455],-0.07601094398079877,-8.978463388181757e-06,0.23644089698791504,0.00789022445678711
134,[-0.07600455],-0.07601081865522108,-8.162341001677342e-06,0.2499229907989502,0.007857084274291992
135,[-0.07600455],-0.07601068089450602,-1.0582495232835942e-05,0.23620390892028809,0.007940053939819336
136,[-0.07600455],-0.07601062102047429,-7.92432932217313e-06,0.23831486701965332,0.008455991744995117
