,UB,LB,Epsilon,MasterTime,LLTime
0,inf,-0.6600312050134868,-0.6787812013619394,0.006745100021362305,0.005785942077636719
1,inf,-0.6113876030171599,-0.4299211568358781,0.007216215133666992,0.005778074264526367
2,inf,-0.5666984509430844,-0.11839049312422245,0.009142637252807617,0.0060901641845703125
3,[-0.46327818],-0.563278178463106,-0.07983269336834653,0.010270833969116211,0.005919694900512695
4,[-0.46327818],-0.5632471244272619,-0.06548775296099785,0.011036872863769531,0.00588536262512207
5,[-0.46327818],-0.5631896805043581,-0.11962159660953686,0.012940168380737305,0.005594015121459961
6,[-0.46327818],-0.562994180410989,-0.19600968408571567,0.014453649520874023,0.005830287933349609
7,[-0.46327818],-0.5567028858184742,-0.010229282254300975,0.015316963195800781,0.005836009979248047
8,[-0.46327818],-0.5566819941492032,-0.01037109987021878,0.017330169677734375,0.005815029144287109
9,[-0.46327818],-0.5566770366596945,-0.012206428316016149,0.018842220306396484,0.006966114044189453
10,[-0.46327818],-0.5566731423674316,-0.013268205842396297,0.02147078514099121,0.0059320926666259766
11,[-0.46327818],-0.5565508311732881,-0.0905266007640575,0.022070884704589844,0.006010293960571289
12,[-0.46327818],-0.5564670348382705,-0.015299252071851677,0.02419114112854004,0.005863189697265625
13,[-0.46327818],-0.5563618653446714,-0.010863134368616967,0.025720834732055664,0.005971431732177734
14,[-0.46327818],-0.5561947336624478,-0.018478753560325134,0.02713298797607422,0.0069696903228759766
15,[-0.46327818],-0.5559521711766955,-0.00975948194206433,0.029439210891723633,0.005677938461303711
16,[-0.46327818],-0.5559013452874382,-0.018617415068186594,0.0308072566986084,0.006163120269775391
17,[-0.46327818],-0.5558010725043125,-0.009521049291910777,0.03292393684387207,0.0058443546295166016
18,[-0.54581149],-0.5555762733705372,-0.007573322101390723,0.033293962478637695,0.006062030792236328
19,[-0.54581149],-0.5554641595118017,-0.01613088504642657,0.032315731048583984,0.00661158561706543
20,[-0.54581149],-0.5552619626175233,-0.00410549404890459,0.03279876708984375,0.0062410831451416016
21,[-0.54581149],-0.5549957814241289,-0.0036110720746935776,0.03382682800292969,0.006512165069580078
22,[-0.54581149],-0.5548724120849595,-0.003065212107820181,0.03707170486450195,0.006075143814086914
23,[-0.54581149],-0.5548417256919258,-0.002010495207830587,0.04131174087524414,0.005539655685424805
24,[-0.54581149],-0.5546102526033927,-0.0033337586118378226,0.04309415817260742,0.006539821624755859
25,[-0.54581149],-0.5545306225189659,-0.0023879694374638882,0.043292999267578125,0.0057981014251708984
26,[-0.54581149],-0.554358212207827,-0.0025421084398551397,0.04379987716674805,0.00668025016784668
27,[-0.54581149],-0.55434781091334,-0.0019497019837330098,0.044652700424194336,0.006003379821777344
28,[-0.54581149],-0.5542077568811337,-0.0023006706994028736,0.04899096488952637,0.005675554275512695
29,[-0.54581149],-0.5541755715599344,-0.0011136991397436846,0.04890894889831543,0.005728006362915039
30,[-0.54581149],-0.5540596212818532,-0.0039784198129927395,0.06172752380371094,0.005633831024169922
31,[-0.54581149],-0.554047285566492,-0.0020090034743746044,0.054940223693847656,0.006308794021606445
32,[-0.54581149],-0.5540172376906369,-0.0017581615373385429,0.05680251121520996,0.0058171749114990234
33,[-0.54581149],-0.5539855358751762,-0.00098729875264425,0.05961799621582031,0.0064051151275634766
34,[-0.55299818],-0.5539840793362583,-0.001075222579856261,0.05858659744262695,0.006067991256713867
35,[-0.55299818],-0.5539417006346987,-0.0013039033187762783,0.057624101638793945,0.006016969680786133
36,[-0.55299818],-0.5539358189607295,-0.0005556571288313217,0.06155967712402344,0.005364656448364258
37,[-0.55299818],-0.5539147567768623,-0.0009176003971719249,0.060967206954956055,0.0055048465728759766
38,[-0.55299818],-0.5538986126845291,-0.0019290742750589507,0.06568193435668945,0.005984067916870117
39,[-0.55299818],-0.553884439715091,-0.0006721769423729818,0.0673823356628418,0.0057790279388427734
40,[-0.55299818],-0.553867663469191,-0.0016010180852144007,0.06568217277526855,0.006403684616088867
41,[-0.55299818],-0.5538642821863853,-0.00104975792479034,0.06522822380065918,0.005513668060302734
42,[-0.55299818],-0.5538621773242394,-0.000513068231005831,0.06895804405212402,0.005751848220825195
43,[-0.55299818],-0.553860497397503,-0.0006947779269602661,0.0670168399810791,0.0057163238525390625
44,[-0.55299818],-0.5538594599818598,-0.00039131984002971354,0.07149720191955566,0.005621194839477539
45,[-0.55299818],-0.5538442594759054,-0.0005656682843406813,0.0731041431427002,0.005384922027587891
46,[-0.55299818],-0.5538076969693524,-0.0006013078886764056,0.07505488395690918,0.006165027618408203
47,[-0.55299818],-0.5537972190692084,-0.0004888982165793809,0.07542109489440918,0.005555868148803711
48,[-0.55299818],-0.5537915121733281,-0.00045241967294007424,0.07279491424560547,0.005523204803466797
49,[-0.55299818],-0.5537844654535693,-0.0006614337331891651,0.07365679740905762,0.005430698394775391
50,[-0.55299818],-0.5537797085685696,-0.0002760978872526909,0.07998228073120117,0.0056116580963134766
51,[-0.55299818],-0.5537738166043464,-0.00036438912933134393,0.09422826766967773,0.0070476531982421875
52,[-0.55299818],-0.5537691713859534,-0.00033533815642661224,0.08846211433410645,0.006133556365966797
53,[-0.55299818],-0.5537670110799819,-0.00030865501568944076,0.08757901191711426,0.00612187385559082
54,[-0.55299818],-0.5537583975454332,-0.00023886734244293883,0.0907130241394043,0.005574703216552734
55,[-0.55299818],-0.553752830447106,-0.0002080916166397051,0.08918404579162598,0.005527973175048828
56,[-0.55299818],-0.5537472103556933,-0.0001577709606563893,0.0898137092590332,0.006163358688354492
57,[-0.55299818],-0.5537365356560269,-0.00030665814824204496,0.09256124496459961,0.006114006042480469
58,[-0.55299818],-0.5537152264997651,-0.0008048374805332825,0.09278607368469238,0.0054662227630615234
59,[-0.55299818],-0.5537114444671349,-0.0003196989716879317,0.09380197525024414,0.005760908126831055
60,[-0.55299818],-0.5537093831076998,-0.00020621275178622778,0.10223007202148438,0.006453037261962891
61,[-0.55299818],-0.5537085821538046,-0.000166506170887315,0.10164380073547363,0.005743980407714844
62,[-0.55299818],-0.5537054042108931,-0.00032191407004344974,0.10867500305175781,0.005445957183837891
63,[-0.55299818],-0.5537033896734513,-0.0002099076192664251,0.10602807998657227,0.006680011749267578
64,[-0.55358497],-0.5536989925618006,-0.00022877644517127482,0.09938430786132812,0.005441188812255859
65,[-0.55358497],-0.5536985353936306,-0.0001501819846353447,0.09741997718811035,0.00533747673034668
66,[-0.55358497],-0.5536939753877466,-0.0001402265182584017,0.09890198707580566,0.0053250789642333984
67,[-0.55358497],-0.5536920158646623,-0.00016618135611745632,0.10294055938720703,0.005650043487548828
68,[-0.55358497],-0.5536874672552301,-0.00019848785520037993,0.1098487377166748,0.0055692195892333984
69,[-0.55358497],-0.5536857089517913,-8.659899681462413e-05,0.10744714736938477,0.005871295928955078
70,[-0.55358497],-0.5536814012567728,-0.00010948768789864616,0.10654497146606445,0.005561113357543945
71,[-0.55358497],-0.5536765637934717,-0.00014510332724115838,0.11290097236633301,0.005576133728027344
72,[-0.55358497],-0.5536732196164778,-9.932911266286037e-05,0.11398887634277344,0.005525112152099609
73,[-0.55358497],-0.5536712906800147,-9.856890735182589e-05,0.11037015914916992,0.005642414093017578
74,[-0.55358497],-0.5536672730936996,-9.68234827835035e-05,0.1133418083190918,0.005800962448120117
75,[-0.55358497],-0.5536657439038137,-8.37254718063507e-05,0.11413693428039551,0.006161212921142578
76,[-0.55358497],-0.5536652022459911,-7.101513545393345e-05,0.11670613288879395,0.006215095520019531
